products_model,categories_name,products_name,slug,image,products_description,,
A-28,A,Anthony the Great,Anthony-the-Great,A-28-Icon-St-Anthony-the-Great.png,"<b>Saint Anthony the Great</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-17/St-Anthony-the-Great.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-29,A,Antipas,Antipas,A-29-Icon-St-Antipas.png,"<b>Saint Antipas of Pergamos</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-11/St-Antipas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-30,A,Apostles,Apostles,A-30-Synaxis-12-Apostles.png,"<b>Synaxis of the Apostles</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/June/Jun-30/Synaxis-12-Apostles.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-424,Menaion,April,April,A424_April_Menaion_Icon.png,"<p>The <i>April</i> icon belongs to the Menaion set. Each of the icons in the Menaion set when purchased individually are sold for the standard price of an 11 x 14 enlargement. The entire set of Great Feast icons when purchased as a set comes with a discount. See <a href=""https://www.bostonmonks.com/product_info.php/cPath/27_33/products_id/354"">here</a> for the full set.</p>
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>",,
A-31,A,Archangels,Archangels,A-31_Synaxis_Archangels.png,"<b>Synaxis of the Archangels</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-8/Synaxis-Archangels.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-350,A,Archangels Michael & Gabriel,Archangels-Michael-and-Gabriel,A-350_Icon_Archangels_Michael_Gabriel.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-8/Synaxis-Archangels.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
M-58,Pectoral Crosses (for Priests),Archangels Pectoral Cross,Archangels-Pectoral-Cross,m058-front.jpg,"<b>Archangels Pectoral Cross</b><br />
1-<sup>3</sup>&frasl;<sub>4</sub> x 2-<sup>7</sup>&#47;<sub>8</sub> inches

<SCRIPT LANGUAGE=""JavaScript"" type=""text/javascript"">

  <!--

    function ShowPopup(pagenameoptions)

    {

    Window = window.open(pagenameoptions);

    }



// -->

</SCRIPT>





<TABLE BORDER=0 CELLSPACING=6 CELLPADDING=6>

<TR>



<TD> 

<a href=""javascript:;"" onClick=""ShowPopup('/catalog/images/m058-back.jpg''popup''resizable=yeswidth=260height=340');"">

<img src=""/catalog/images/m058-back.jpg"" width=""60"" height=""80"" border=""1""></a>

</TD>


<TR>
<TD>

<p align=""center""><font face=""Verdana"" size=""1"">Back</font>

</TD>



</TR> 



</TABLE>",,
A-280,A,Aristeides the Philosopher,Aristeides-the-Philosopher,A-280-Icon-St-Aristeides.png,"<b>Saint Aristeides the Philosopher</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/August/Aug-31/St-Aristides-the-Philosopher.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
M-211,Baptismal Crosses,Armenian Cross,Armenian-Cross,m211.jpg,<b>1/2 x 1 inch</b>,,
A-269,A,Arsenius the Great,Arsenius-the-Great,A-269-Icon-St-Arsenius.png,"<b>Saint Arsenius the Great</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/May/May-8/st-arsenius-the-great.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-174,Great Feast,Ascension,Ascension,A-174-Icon-Ascension.png,"The <i>Ascension</i> icon belongs to the Great Feast set.  Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Pentecostarion/ascension.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
B-23,Monastery,"Ascetical Homilies of St Isaac the Syrian, Cloth bound",Ascetical-Homilies,b023-2.jpg,"<b>The Ascetical Homilies of Saint Isaac the Syrian</b><br />
<em>Translated from the Greek and Syriac by the Holy Transfiguration Monastery revised 2nd Edition.<br />
2011<br />
Hardcover binding<br />
608 pages<br />
5-7/8 x 9-1/2 inches<br /></em>
<p>
<em>The Ascetical Homilies of Saint Isaac the Syrian</em> are sublime treatises on the life of prayer and stillness&mdash;hesychasm&mdash;and have been treasured by monastics and layman alike. The book includes among other things an introduction discussing what we know of the Saint's life and the manuscripts of the homilies and the various translations of them with maps and Appendices with homilies by Saint Isaac only in the Syriac a Glossary of special terms and more. Includes all the homilies by Saint Isaac in the first edition plus two newly translated from the Syriac that were omitted from the first edition. A major work of scholarship.
See more at&nbsp;<a href=""http://www.htmp.org/St-Isaac-Ascetical-Homilies/overview.html"" style=""font-size: inherit"">http://www.htmp.org/St-Isaac-Ascetical-Homilies/overview.html</a></p>",,
A-32,A,Athanasius & Cyril,Athanasius-and-Cyril,A-32-Icon-SS-Athanasius-Cyril.png,"<b>Saints Athanasius and Cyril</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-18/SS-Athanasius-Cyril.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-373,A,Athanasius of Mt Athos,Athanasius-of-Mt-Athos,A-373-Icon-St-Athanasius-Athos.png,"<b>Saint Athanasius of Mount Athos</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/July/Jul-5/St-Athanasius-of-Athos.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-33,A,Athanasius the Great,Athanasius-the-Great,A-33-Icon-St-Athanasius.png,"<b>Saint Athanasius the Great</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-18/SS-Athanasius-Cyril.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-372,A,Athanasius the Great,A-372-Athanasius-the-Great,A-372_Icon_St_Athanasius.png,"<b>Saint Athanasius the Great</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-18/SS-Athanasius-Cyril.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-428,Menaion,August,August,A428_August_Menaion_Icon.png,"<p>The <i>August</i> icon belongs to the Menaion set. Each of the icons in the Menaion set when purchased individually are sold for the standard price of an 11 x 14 enlargement. The entire set of Great Feast icons when purchased as a set comes with a discount. See <a href=""https://www.bostonmonks.com/product_info.php/cPath/27_33/products_id/354"">here</a> for the full set.</p>
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>",,
A-216,Mother of God,Axion Estin,Axion-Estin,A-216-Icon-It-Is-Truly-Meet.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/June/Jun-11/Icon-It-Is-Truly-Meet.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-166,Great Feast,Baptism of Our Saviour,Baptism-of-Our-Saviour,A-166-Icon-Theophany.png,"The <i>Baptism of Our Saviour</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.
<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-6/Holy-Theophany.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
D-76,Christ,Baptism of Our Saviour lithographed print (wallet size),Baptism-of-Our-Saviour-wallet-size,A-166-Icon-Theophany.png,"2-&frac34; x 3-&frac12;<br/>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-6/Holy-Theophany.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-34,B,Barbara,Barbara,A-34_St_Barbara.png,"<b>Saint Barbara</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-4/St-Barbara.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-208,B,Barnabas,Barnabas,A-208-Icon-St-Barnabas.png,"<b>Saint Barnabas</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/June/Jun-11/apostles-bartholomew-barnabas.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-36,B,Basil of Mangazeya,Basil-of-Mangazeya,A-36-Icon-St-Basil-of-Mangazeya.png,"<b>Saint Basil of Mangazeya</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/March/Mar-23/St-Basil-of-Mangazeya.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-35,B,Basil the Great,Basil-the-Great,A-35-Icon-St-Basil-the-Great.png,"<b>Saint Basil the Great</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-1/St-Basil-the-Great.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
B-42,Other,Beatitudes Homilies by St John of Kronstadt,Beatitudes-Homilies-by-St-John-of-Kronstadt,beatitudes.jpg,"<b>Ten Homilies on the Beatitudes<br />
by Saint John of Kronstadt</b><br />
<p>
<i>Translated from the Russian by Professor N. Kizenko-Frugier <br />
Published by Cornerstone Editions Albany NY <br />
2003 <br/>
8"" x 5-1/2 inches paper saddle-stitch<br />
96 pages<br /></i>
<p>
<h3>Excerpts from the Translator's Introduction:</h3>
<p>
Saint John (Father John Sergiev) of Kronstadt (1828-1909) is one of
the best-known modern Russian saints. His classic chronicle of the
spiritual life<em> My Life in Christ</em> was translated into English and
French at the beginning of the twentieth century. Despite the interest
St. John sparked during his lifetime and in recent scholarship and
theology however many of his sermons and essays remain unknown
outside their original Russian. This translation of <em>The Homilies on
the Beatitudes</em> is meant to introduce the English language reader
to a fundamental hitherto neglected part of the saint's work.
<p>
This work dates from St. John's early period when he was
known primarily in Kronstadt and its environs. St. John appears here
still as a local parish priest intimately concerned with the life and
behavior of his immediate flock; he is not yet the famous healer
political commentator and philanthropist he would become in only a
decade. We have little surviving material from this period
(1858-1880) when St. John was engaged in the day-to-day work of
charity prayer and asceticism that would eventually earn him the
gifts of healing and wonderworking. <em>The Homilies</em> are thus of
interest both as a document chronicling the first steps of a saint
towards holiness before broad recognition and acclaim and also as a
text which is hardly accessible even in its original.

<p>
The text's interest however lies beyond its rarity. For students of
St. John <em>The Homilies</em> are useful precisely for the links they
allow one to make between his early works and his later better-known
ones. Such themes as charity and the sacraments for example can
already be identified as being among the saint's central and pervasive
concerns appearing as early as 1869 and worked out by him to the end
of his life.
<p>
<em>The Homilies</em> also constitute a link between St. John's diaries
preserved in Russian archives&#151;only a minuscule portion of
which is contained in <em>My Life in Christ</em>&#151;and his sermons. If
the Homilies are compared with the notes St.John made in his diaries
at the same time for example certain phrases and even entire
sections are reproduced word for word. Wherever possible this book
will note such parallels referring the reader to the original
source. For the Homilies are the public expression of St. John's
private thoughts... As a side-by-side reading of the diaries
and the Homilies shows St. John would first note an idea privately
then ponder on it and present it for public use in the form of a
sermon. His works demonstrate that the boundary between public and
private for a saint and a priest could be quite porous.
<p>
Because <em>The Homilies</em> were as the name suggests originally
delivered as sermons they give the reader an unusually close sense of
the impact of St. John's physical presence and his spoken word. His
using examples that would have been familiar to his audience his
structuring each homily to remind the listeners of the previous week's
lesson his frequent exclamations of <Q>Brothers!</Q>all heighten the
sense that this was an oral presentation and that both speaker and
listeners inspired each other with their own fervor.

<p>
...But above all the Homilies are an invitation to the
Liturgy. St. John's preaching genius which eluded those of his
contemporaries who tried to identify it comes through eloquently
here. By concentrating on a simple and basic text which he notes is
<Q>read or chanted</Q> every day he illuminates the entire Divine service.
<p>
...Far from being a detached moralizing meditation on the
Gospel in short St. John's <em>Homilies on the Beatitudes</em> are a document
to uniquely Orthodox teachings practices and even calendar days
testifying that to him the Gospel's lessons could be apprehended only
in the context of Orthodox liturgy. Reading <em>The Homilies</em> brings us
closer both to St. John and the Orthodox Church he loved and served.
<p>
<hr>",,
